system,total_pr,variable,percentages,field_grouping,n,min_variable,min_percentage
WY,28,ind_deathloc,100,Context,28,c_ind_ethnicity,0
WY,28,c_ind_fachoused,0,Context,0,c_ind_ethnicity,0
WY,28,c_ind_cod_avail,0,Cause of Death,0,c_ind_ethnicity,0
IL,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
IL,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
IL,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
IL,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
IL,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
IL,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
IL,0,ind_tod,0,Context,0,c_ind_full_name,0
IL,0,ind_deathloc,0,Context,0,c_ind_full_name,0
IL,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
IL,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
IN,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
IN,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
IN,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
IN,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
IN,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
IN,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
IN,0,ind_tod,0,Context,0,c_ind_full_name,0
IN,0,ind_deathloc,0,Context,0,c_ind_full_name,0
IN,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
IN,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
ND,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
ND,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
ND,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
ND,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
ND,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
ND,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
ND,0,ind_tod,0,Context,0,c_ind_full_name,0
ND,0,ind_deathloc,0,Context,0,c_ind_full_name,0
ND,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
ND,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
WV,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
WV,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
WV,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
WV,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
WV,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
WV,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
WV,0,ind_tod,0,Context,0,c_ind_full_name,0
WV,0,ind_deathloc,0,Context,0,c_ind_full_name,0
WV,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
WV,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
WI,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
WI,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
WI,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
WI,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
WI,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
WI,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
WI,0,ind_tod,0,Context,0,c_ind_full_name,0
WI,0,ind_deathloc,0,Context,0,c_ind_full_name,0
WI,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
WI,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
MD,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
MD,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
MD,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
MD,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
MD,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
MD,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
MD,0,ind_tod,0,Context,0,c_ind_full_name,0
MD,0,ind_deathloc,0,Context,0,c_ind_full_name,0
MD,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
MD,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
NJ,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
NJ,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
NJ,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
NJ,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
NJ,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
NJ,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
NJ,0,ind_tod,0,Context,0,c_ind_full_name,0
NJ,0,ind_deathloc,0,Context,0,c_ind_full_name,0
NJ,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
NJ,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
ME,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
ME,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
ME,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
ME,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
ME,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
ME,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
ME,0,ind_tod,0,Context,0,c_ind_full_name,0
ME,0,ind_deathloc,0,Context,0,c_ind_full_name,0
ME,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
ME,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
MA,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
MA,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
MA,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
MA,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
MA,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
MA,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
MA,0,ind_tod,0,Context,0,c_ind_full_name,0
MA,0,ind_deathloc,0,Context,0,c_ind_full_name,0
MA,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
MA,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
MI,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
MI,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
MI,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
MI,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
MI,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
MI,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
MI,0,ind_tod,0,Context,0,c_ind_full_name,0
MI,0,ind_deathloc,0,Context,0,c_ind_full_name,0
MI,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
MI,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
NY,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
NY,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
NY,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
NY,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
NY,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
NY,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
NY,0,ind_tod,0,Context,0,c_ind_full_name,0
NY,0,ind_deathloc,0,Context,0,c_ind_full_name,0
NY,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
NY,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
OH,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
OH,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
OH,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
OH,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
OH,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
OH,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
OH,0,ind_tod,0,Context,0,c_ind_full_name,0
OH,0,ind_deathloc,0,Context,0,c_ind_full_name,0
OH,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
OH,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
RI,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
RI,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
RI,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
RI,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
RI,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
RI,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
RI,0,ind_tod,0,Context,0,c_ind_full_name,0
RI,0,ind_deathloc,0,Context,0,c_ind_full_name,0
RI,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
RI,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
PR,0,c_ind_full_name,0,Demographic,0,c_ind_full_name,0
PR,0,c_ind_dob_year,0,Demographic,0,c_ind_full_name,0
PR,0,c_ind_gender,0,Demographic,0,c_ind_full_name,0
PR,0,c_ind_race,0,Demographic,0,c_ind_full_name,0
PR,0,c_ind_ethnicity,0,Demographic,0,c_ind_full_name,0
PR,0,c_ind_dod_ymd,0,Context,0,c_ind_full_name,0
PR,0,ind_tod,0,Context,0,c_ind_full_name,0
PR,0,ind_deathloc,0,Context,0,c_ind_full_name,0
PR,0,c_ind_fachoused,0,Context,0,c_ind_full_name,0
PR,0,c_ind_cod_avail,0,Cause of Death,0,c_ind_full_name,0
